# BaseBuilder station data harvested from UBER-MODS-v8.00-MOHAA (searingwolfe/UBER-MODS-v8.00-MOHAA),
# alienx/basebuild.scr's per-map `exec ...::basebuild ( origin ) "model" ...` station placements.
# '# map <name> main <params>' rows carry the map's basebuild::main args; data rows are '<map>	<station args>'.
# Consumed by docs/tools/gen_basebuild_maps.py -> coop_mod/mp_basebuild_stations.scr. Do not hand-edit.
# map	m1l1	main	800 1000 500 1 1 0 0 0
m1l1	( -1396.75 -3915.47 79.34 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l1	( -1386.13 -3683.72 56.47 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l1	( -1400.62 -3790.48 65.96 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l1	( -1402.93 -3526.67 48.64 ) "static/sandbag_link_main_winter.tik" 1 0 0 1 90 .5 0 0 1
m1l1	( -1401.90 -3368.61 55.51 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l1	( -1384.12 -3146.00 98.10) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l1	( -1550.44 -4080.68 86.02 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m1l1	( -1697.22 -4194.81 91.84 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l1	( -1692.38 -4324.43 94.04) "static/sandbag_longsegment.tik" 1 0 0 1 90 .5 0 0 1
m1l1	( -1400.62 -3256.10 57.86) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l1	( -4059.54 291.12 385.96 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l1	( -4059.13 168.20 376.74  ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l1	( -4060.17 75.82 376.47 ) "static/sandbag_link_main_winter.tik" 1 0 0 1 90 .5 0 0 1
m1l1	( -4065.73 -24.48 369.19 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l1	( -4436.78 -245.03 377.12 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l1	( -4445.87 -119.83 380.13 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m1l1	( -4440.29 -34.57 380.13 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m1l1	( -4439.11 65.72 380.13) "static/sandbag_longsegment.tik" 1 0 0 1 90 .1 0 0 1
m1l1	( -4440.80 159.98 380.15 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l1	( -3991.13 343.13 399.68 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
# map	m1l2a	main	800 1000 500 1 1 0 0 0
m1l2a	( 1774.37 3930.52 -192.26 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l2a	( 1808.72 3218.94 -192.26 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l2a	( 1773.27 3827.49 -191.12 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l2a	( 1237.20 3819.69 -199.88 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l2a	( 1780.41 3706.96 -189.51 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l2a	( 1783.06 3620.89 -188.44 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l2a	( 1777.30 3511.53 -187.38 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m1l2a	( 1771.45 3401.38 -187.55 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l2a	( 5057.09 -353.44 -108.32 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l2a	( 5087.27 -438.40 -92.91 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l2a	( 5094.88 -517.08 -92.81 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l2a	( 5101.69 -600.60 -94.22 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l2a	( 5340.68 -958.04 -62.70 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l2a	( 5254.85 -961.75 -72.72 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l2a	( 5147.61 -966.52 -72.83 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m1l2a	( 4784.06 -784.16 -147.30 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l2a	( 5140.24 -4082.22 -77.81 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l2a	( 5139.28 -3987.72 -85.11 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l2a	( 5175.89 -4211.33 -72.17 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l2a	( 5146.34 -3885.89 -84.60 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l2a	( 5146.74 -3744.95 -91.14 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l2a	( 5151.31 -3609.56 -111.00 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l2a	( 5145.58 -3501.95 -111.44 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m1l2a	( 5555.97 -3828.96 -28.05 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m1l2b	main	800 1000 500 1 1 0 0 0
m1l2b	( -2217.20 2668.72 -255.88 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l2b	( -2213.04 3262.53 -255.88 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l2b	( -2221.55 2758.54 -255.88 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l2b	( -2220.87 2887.43 -255.88 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l2b	( -2218.74 3013.21 -255.88 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l2b	( -2211.18 3149.61 -255.88 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m1l2b	( -2209.63 3460.42 -255.88 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m1l2b	( -2208.01 3564.90 -255.88 ) "static/cabinet_large.tik" 1 0 0 1 90 .1 0 0 1
m1l2b	( -2217.20 4000.72 -255.88 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l2b	( -2216.00 2524.00 -255.88 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l2b	( -2216.00 2424.00 -255.88 ) "static/banquet_table.tik" 1 0 1 1 90 .2 0 0 1
m1l2b	( 711.18 2463.85 -255.88 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l2b	( 851.18 2463.85 -255.88 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l2b	( 997.07 2460.41 -255.88 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l2b	( 1157.48 2458.18 -255.88 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l2b	( 1423.29 2450.53 -255.88 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l2b	( 1557.57 2468.60 -255.88 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l2b	( 1687.69 2454.79 -255.88 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m1l2b	( 1811.71 2455.26 -255.88 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m1l2b	( 1964.21 2459.78 -255.88 ) "static/cabinet_large.tik" 1 0 0 1 90 .1 0 0 1
m1l2b	( 2110.60 2457.22 -255.88 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l2b	( 1292.02 2443.02 -255.88 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l2b	( 2240.60 2457.22 -255.88 ) "static/banquet_table.tik" 1 0 1 1 90 .2 0 0 1
m1l2b	( 752.45 -1935.92 -255.88 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l2b	( 851.40 -1913.25 -255.88 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l2b	( 985.65 -1889.77 -255.88 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l2b	( 1099.18 -1887.66 -255.88 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l2b	( 1241.05 -1926.04 -255.88 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l2b	( 1335.73 -1993.48 -255.88 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m1l2b	( 1452.87 -2025.56 -255.88 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m1l2b	( 1572.26 -2045.31 -255.88 ) "static/cabinet_large.tik" 1 0 0 1 90 .1 0 0 1
m1l2b	( 1928.58 -2047.42 -255.88 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l2b	( 2070.00 -2058.00 -255.88 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l2b	( 2156.87 -2061.20 -255.88 ) "static/banquet_table.tik" 1 0 1 1 90 .2 0 0 1
# map	m1l3a	main	800 1000 500 1 1 0 0 0
m1l3a	( -1829.25 -3040.31 20.11 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l3a	( -1821.54 -3157.75 20.11 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l3a	( -1813.65 -3291.35 20.11 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l3a	( -1810.05 -3442.11 20.11 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l3a	( -1902.45 -3606.20 20.11 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l3a	( -1892.51 -3773.77 20.11 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l3a	( -1885.97 -3939.37 20.11 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m1l3a	( -1984.95 -2902.34 20.10 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l3a	( -2178.95 -2932.68 20.12 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l3a	( -2346.39 -2923.73 20.12 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m1l3a	( 2305.34 -5752.83 -111.88 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l3a	( 2298.24 -5849.29 -111.88 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l3a	( 2298.21 -5949.05 -111.88 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
