# Countdown radio spawn origins, harvested from the countdown mod's per-map scripts (countdown/<map>.scr).
# Consumed by docs/tools/gen_countdown_maps.py. Do NOT hand-edit; re-harvest from source.
# Format: <mapname>	<origin vector>   (one row per candidate radio spawn; the mode picks one at random)
anubis	( 1716.43 13.89 3.13 )
anubis	( 4755.71 1479.27 -1103.88 )
anubis	( -5058.73 -823.31 -231.88 )
anubis	( 1912.79 2867.87 -46.69 )
anubis	( 1135.17 1956.66 -223.88 )
anubis	( -3628.14 54.33  895.23 )
anubis	( -5058.73 -823.31 -231.88)
anubis	( 1247.42 2095.15 -223.88 )
m1l1	( -3715.57 -3713.32 178.78 )
m1l1	( -5150.46 -737.81 456.56 )
m1l1	( -3547.45 -265.35 409.58 )
m1l1	( -5880.16 2528.87 640.13 )
m1l1	( -1615.10 -2199.13 141.62 )
m1l1	( -3539.81 -944.74 462.14 )
m1l2a	( 982.13 4148.27 64.13)
m1l2a	( -1495.73 1436.15 -179.67 )
m1l2a	( -489.50 -257.32 -47.88 )
m1l2a	( -250.29 2571.13 -143.88 )
m1l2a	( 2456.88 3656.88 -191.88 )
m1l2a	( -955.52 -3793.99 -383.88 )
m1l2b	( -2112.88 3658.13 -253.88  )
m1l2b	( -2841.33 3504.28 -255.88 )
m1l2b	( -1358.57 3354.04 -255.88 )
m1l2b	( 156.48 3035.13 -255.88 )
m1l2b	( 1434.60 349.57 -255.88 )
m1l2b	( 2103.49 -95.13 -255.68 )
m1l2b	( 1758.15 -3056.88 -191.88 )
mohdm1	( 1103.13 278.22 304.13 )
mohdm1	( 304.73 478.19 384.13 )
mohdm1	( 159.73 1553.99 384.13 )
mohdm1	( 1070.00 1407.15 384.13 )
mohdm1	( 47.24 2286.88 384.13 )
mohdm1	( -203.92 1303.86 48.13 )
mohdm1	( -1262.73 1597.23 62.87 )
mohdm1	( -667.92 478.47 -15.88 )
mohdm1	( -927.80 387.14 -15.88 )
mohdm1	( -452.64 1352.12 384.13 )
mohdm1	( 319.31 602.83 112.12 )
mohdm1	( 496.90 495.69 48.13 )
mohdm1	( -43.28 462.96 48.13 )
mohdm1	( 1125.97 2005.73 512.13 )
mohdm1	( 1612.19 1506.78 289.81 )
mohdm1	( 1528.24 936.87 528.13 )
mohdm1	( -126.37 1126.21 272.13 )
mohdm1	( -291.57 1136.87 552.13 )
mohdm1	( -535.80 1173.87 540.31 )
mohdm1	( 240.87 1679.13 552.13 )
mohdm1	( 229.23 1913.35 608.13 )
mohdm1	( 222 1355 108 )
mohdm2	( -798.92 -2611.05 -61.88 )
mohdm2	( -403.24 -1764.55 -30.12 )
mohdm2	( 123.39 -934.01 -71.56 )
mohdm2	( -770.52 -622.89 40.13 )
mohdm2	( -227.13 -4.92 40.13 )
