# Cyber Attack / Search & Destroy per-map bomb data, harvested from UberMod v8 map scripts.
# Consumed by docs/tools/gen_cybersnd_maps.py. Do NOT hand-edit; re-harvest from source.
# map	m1l1	modes	cyb snd
m1l1	cyb	set	round_starttime = 8
m1l1	cyb	set	rounds_towin = 6
m1l1	cyb	set	changesides = 0
m1l1	cyb	set	keepsamesides = 1
m1l1	cyb	set	bombcamera = 1
m1l1	cyb	bombsite	( -6623 2467 432 ) -90 axis
m1l1	cyb	bombsite	( -2077 -3000 43 ) 180 allies
m1l1	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -4181 -1148 405 ) -12
m1l1	snd	set	round_starttime = 8
m1l1	snd	set	rounds_towin = 6
m1l1	snd	set	changesides = 1
m1l1	snd	set	bombcamera = 1
m1l1	snd	bombsite	( -5200 -445 460 ) -70
m1l1	snd	bombsite	( -3501 -119 420 ) 180
m1l1	snd	bomb	( -1955 -3251 31 ) 180 ( -6351 1999 432 ) 90 ( 0 0 0 ) 0
# map	m1l2a	modes	cyb snd
m1l2a	cyb	set	round_starttime = 8
m1l2a	cyb	set	rounds_towin = 6
m1l2a	cyb	set	changesides = 0
m1l2a	cyb	set	keepsamesides = 1
m1l2a	cyb	set	bombcamera = 1
m1l2a	cyb	bombsite	( 1794 3666 -188 ) 180 axis
m1l2a	cyb	bombsite	( 4776 -1869 6 ) -90 allies
m1l2a	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 4157 -11 -167 ) -90
m1l2a	snd	set	round_starttime = 8
m1l2a	snd	set	rounds_towin = 6
m1l2a	snd	set	changesides = 0
m1l2a	snd	set	bombcamera = 1
m1l2a	snd	bombsite	( 4866 209 -172 ) -90
m1l2a	snd	bombsite	( 2800 -995 -127 ) 90
m1l2a	snd	bomb	( 5960 -4428 -31 ) 90 ( 2064 3181 -193 ) 180 ( 0 0 0 ) 0
# map	m1l2b	modes	cyb snd
m1l2b	cyb	set	round_starttime = 8
m1l2b	cyb	set	rounds_towin = 6
m1l2b	cyb	set	changesides = 0
m1l2b	cyb	set	keepsamesides = 1
m1l2b	cyb	set	bombcamera = 1
m1l2b	cyb	bombsite	( 2551 -4162 -327 ) 90 axis
m1l2b	cyb	bombsite	( -3187 3496 -255 ) 180 allies
m1l2b	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 1528 727 -255 ) 90
m1l2b	snd	set	round_starttime = 8
m1l2b	snd	set	rounds_towin = 6
m1l2b	snd	set	changesides = 0
m1l2b	snd	set	bombcamera = 1
m1l2b	snd	bombsite	( 2103 842 -255 ) -90
m1l2b	snd	bombsite	( 534 1885 -255 ) 90
m1l2b	snd	bomb	( -3175 3496 -255 ) 90 ( 1183 -2823 -191 ) 180 ( 0 0 0 ) 0
# map	m1l3a	modes	cyb snd
